RPU Solicitante,Solicitud PA,Solicitud SIA,Solixtra SIA,ID Presup,Programa,Sufijo SICOM,Fecha Alta SICOM,Fecha Alta PA,Fecha Pago,Total Prestamo,Total Capital,Total Interes,Total IVA,Dif Total,Dif Capital,Dif Interes,Dif IVA,ID Promo
774960202924,491110,YU000008,1,RU115968,5,2,20181023,20181023,2018-10-26,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
773070703601,491111,YU000012,1,RU115970,5,1,20181023,20181023,2018-10-26,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
773110400577,491633,YU000110,1,RU116434,5,1,20181109,20181109,2018-11-16,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
774970901359,492349,YU000060,2,RU117422,5,1,20181207,20181207,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773070900911,492400,YU000122,1,RU117453,5,1,20181210,20181210,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774141001201,492402,YU000129,2,RU117419,5,1,20181210,20181210,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
771951103906,492403,YU000118,2,RU117423,5,1,20181210,20181210,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774960902659,492437,YU000027,2,RU117455,5,1,20181211,20181211,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774961101901,492438,YU000144,1,RU117572,5,1,20181211,20181211,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774041001238,492440,YU000021,2,RU117457,5,1,20181211,20181211,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774140803532,492442,YU000147,1,RU117589,5,1,20181211,20181211,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776130201651,492443,YU000142,1,RU117562,5,1,20181211,20181211,2018-12-14,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
